Year_PlotID,PlotID,date,area,SiteName,x_utm,y_utm,lat,lon
2016_PX_14-01,PX_14,42683,AAB,Andrahibo,232477,8500033,-13.555916,48.528085
2016_PX_14-02,PX_14,42683,AAB,Andrahibo,232494,8500064,-13.555638,48.528245
2016_PX_14-03,PX_14,42683,AAB,Andrahibo,232508,8500017,-13.556064,48.52837
2016_PX_14-04,PX_14,42683,AAB,Andrahibo,232460,8500005,-13.556168,48.527926
2016_PX_14-05,PX_14,42683,AAB,Andrahibo,232450,8500052,-13.555742,48.527838
2016_PX_13-01,PX_13,42684,AAB,Andrahibo,232268,8500991,-13.547243,48.526245
2016_PX_13-02,PX_13,42684,AAB,Andrahibo,232285,8501022,-13.546964,48.526405
2016_PX_13-03,PX_13,42684,AAB,Andrahibo,232296,8500975,-13.54739,48.526502
2016_PX_13-04,PX_13,42684,AAB,Andrahibo,232250,8500963,-13.547494,48.526076
2016_PX_13-05,PX_13,42684,AAB,Andrahibo,232238,8501009,-13.547077,48.52597
2016_PX_17-01,PX_17,42685,AAB,Andrahibo,231761,8501288,-13.544513,48.521591
2016_PX_17-02,PX_17,42685,AAB,Andrahibo,231778,8501318,-13.544244,48.521751
2016_PX_17-03,PX_17,42685,AAB,Andrahibo,231788,8501270,-13.544678,48.521839
2016_PX_17-04,PX_17,42685,AAB,Andrahibo,231744,8501260,-13.544765,48.521432
2016_PX_17-05,PX_17,42685,AAB,Andrahibo,231731,8501306,-13.544348,48.521316
2016_PX_12-01,PX_12,42688,AAB,Ampampana,230408,8500571,-13.550866,48.509031
2016_PX_12-02,PX_12,42688,AAB,Ampampana,230423,8500601,-13.550596,48.509172
2016_PX_12-03,PX_12,42688,AAB,Ampampana,230439,8500555,-13.551014,48.509316
2016_PX_12-04,PX_12,42688,AAB,Ampampana,230394,8500539,-13.551154,48.508899
2016_PX_12-05,PX_12,42688,AAB,Ampampana,230378,8500583,-13.550755,48.508755
2016_PX_16-01,PX_16,42689,AAB,Ampampana,230349,8500873,-13.548132,48.508515
2016_PX_16-02,PX_16,42689,AAB,Ampampana,230371,8500900,-13.547891,48.50872
2016_PX_16-03,PX_16,42689,AAB,Ampampana,230375,8500850,-13.548343,48.508753
2016_PX_16-04,PX_16,42689,AAB,Ampampana,230328,8500847,-13.548365,48.508318
2016_PX_16-05,PX_16,42689,AAB,Ampampana,230322,8500892,-13.547958,48.508267
2016_PX_19-01,PX_19,42710,AAB,Ampampana,230228,8500779,-13.548971,48.507389
2016_PX_19-02,PX_19,42710,AAB,Ampampana,230249,8500806,-13.548729,48.507585
2016_PX_19-03,PX_19,42710,AAB,Ampampana,230257,8500759,-13.549154,48.507655
2016_PX_19-04,PX_19,42710,AAB,Ampampana,230209,8500751,-13.549222,48.507211
2016_PX_19-05,PX_19,42710,AAB,Ampampana,230200,8500798,-13.548796,48.507132
2016_PX_23-01,PX_23,42711,AAB,Ampampana,229777,8500721,-13.549453,48.503219
2016_PX_23-02,PX_23,42711,AAB,Ampampana,229792,8500752,-13.549174,48.50336
2016_PX_23-03,PX_23,42711,AAB,Ampampana,229806,8500704,-13.549609,48.503485
2016_PX_23-04,PX_23,42711,AAB,Ampampana,229762,8500693,-13.549704,48.503078
2016_PX_23-05,PX_23,42711,AAB,Ampampana,229748,8500737,-13.549306,48.502953
2016_PX_18-01,PX_18,42712,AAB,Ampampana,229867,8499730,-13.558414,48.503956
2016_PX_18-02,PX_18,42712,AAB,Ampampana,229886,8499758,-13.558162,48.504134
2016_PX_18-03,PX_18,42712,AAB,Ampampana,229898,8499712,-13.558579,48.504241
2016_PX_18-04,PX_18,42712,AAB,Ampampana,229851,8499700,-13.558683,48.503806
2016_PX_18-05,PX_18,42712,AAB,Ampampana,229839,8499746,-13.558266,48.503699
2016_PX_22-01,PX_22,42713,AAB,Ampampana,229836,8499009,-13.564924,48.503602
2016_PX_22-02,PX_22,42713,AAB,Ampampana,229855,8499036,-13.564682,48.50378
2016_PX_22-03,PX_22,42713,AAB,Ampampana,229862,8498988,-13.565116,48.50384
2016_PX_22-04,PX_22,42713,AAB,Ampampana,229817,8498980,-13.565184,48.503424
2016_PX_22-05,PX_22,42713,AAB,Ampampana,229809,8499030,-13.564732,48.503355
2016_PX_03-01,PX_03,42717,AAB,Andrahibo,231606,8498528,-13.569432,48.519901
2016_PX_03-02,PX_03,42717,AAB,Andrahibo,231626,8498555,-13.56919,48.520089
2016_PX_03-03,PX_03,42717,AAB,Andrahibo,231634,8498507,-13.569625,48.520158
2016_PX_03-04,PX_03,42717,AAB,Andrahibo,231591,8498499,-13.569693,48.51976
2016_PX_03-05,PX_03,42717,AAB,Andrahibo,231580,8498549,-13.56924,48.519663
2016_PX_11-01,PX_11,42718,AAB,Andrahibo,232238,8500030,-13.555921,48.525878
2016_PX_11-02,PX_11,42718,AAB,Andrahibo,232255,8500061,-13.555643,48.526038
2016_PX_11-03,PX_11,42718,AAB,Andrahibo,232266,8500010,-13.556105,48.526135
2016_PX_11-04,PX_11,42718,AAB,Andrahibo,232220,8500003,-13.556164,48.525709
2016_PX_11-05,PX_11,42718,AAB,Andrahibo,232209,8500049,-13.555747,48.525612
